Book Name,Author,Year,Book ID
my life in design,gauri khan,2020,a5021927-9da5-4c8e-b6d8-697afca7ceff
azadi: freedom. fascism. fiction,arundhati roy,2020,9d653434-e638-4e9a-8182-34e329f0f4b4
kitchens of gratitude,chef vikas khanna,2020,b1b188c9-f6ba-4ac4-8474-cbaa9277407c
a promised land,barack obama,2020,7665e10b-1607-497d-ac62-b0b8684b9008
bapu- the unforgettable,manish sisodia,2020,0f2dd610-6b89-4de2-8896-bc7e7579f6e4
the battle of belonging,shashi tharoor,2020,d6c8b639-036b-4521-ba1e-81559a981728
bye bye corona,dr. pradeep kumar srivastava,2020,d1bbaa82-fcd3-46ea-9ebb-58093e4a4c79
your best day is today!,anupam kher,2020,99fea18d-8fe6-4ba0-84f9-d644d53304bf
i am no messiah,meena iyer,2020,39173eff-ae6e-489e-bd56-599d9d58ec63
40 years with abdul kalam-untold stories,dr. a. sivathanu pillai,2020,cd522681-58be-4f90-a2ed-77773f4106b4
dharma: decoding the epics for a meaningful life,amish tripathi and bhavna roy,2020,b0a34245-e746-4868-b18e-601b224b905b
oh mizoram,ps sreedharan pillai,2020,dddfce98-73ee-4acf-adf0-8622fc57abcb
the 7 sins of being a mother,tahira kashyap khurrana,2021,3da1c787-e386-4389-925f-90c93bb6c3d4
habba khatoon,kajal suri,2021,117c2fe5-a19c-48d6-8c2f-61a9b2285644
will,will smith and mark manson,2021,95edaaf2-97c3-4219-8e50-f61448c9629c
my joys and sorrows- as a mother of a special child,krishna saksena,2021,4c96b660-3060-45e3-995f-6fcd15959c54
it’s a wonderful life,ruskin bond,2021,53dbb474-d916-43ff-9a01-ff87034c5f8e
fiercely female: the dutee chand story,sundeep mishra,2021,223f4b1f-3a94-452c-880c-5c002486d01b
policymaker’s journal: from new delhi to washington dc,kaushik basu,2021,21796c46-463b-4c60-a817-c0e36683a3a9
kashmiri century: portrait of a society in flux,khemlata wakhlu,2021,75ac40a8-7678-4c62-ac6b-97d890c51c0c
lady doctors: the untold stories of india’s first women in medicine,kavitha rao,2021,473f0deb-4fa4-4d0c-92a9-1ce387944570
the pregnancy bible,kareena kapoor,2021,0528b50e-1362-4817-beaa-4fbb6c7da636
the art of conjuring alternate realities: how information warfare shapes your world,shivam shankar singh and anand venkatanarayanan,2021,7e87075b-c1e4-4d71-b4ca-620f36bfe4f7
the great big lion,chryseis knight,2021,ebd1c4c5-f313-4328-b443-8d80feabce8a
the india story,bimal jalan,2021,27d63b62-1ba6-4f57-9c80-2b05d87a73c5
the stranger in the mirror(autobiography of rakeysh omprakash mehra),reeta ramamurthy gupta and rakeysh omprakash mehra,2021,0c78f4a3-05b8-4f28-a77b-c13d5ff156f1
palleku pattabhishekam,yalamanchili sivaji,2021,680efed2-2a33-43d8-8c8b-01f1cd24ee34
bank with a soul: equitas,dr. c k garyali,2021,7d77b817-25a2-4134-9ffb-6727cc01069b
an ordinary life: portrait of an indian generation,ashok lavasa,2021,90544cf4-714c-4bbf-858d-bf42bac38761
in an ideal world,kunal basu,2021,1203e740-3d8c-496c-a7ac-35c9d1529c24
my own mazagon,captain ramesh babu,2021,f69118f1-a204-490b-a389-2df4780cfbf6
leopard diaries – the rosette in india,sanjay gubbi,2021,8d91500c-9923-43bd-a292-5560eec4aa96
balakot air strike: how india avenged pulwama,manan bhatt,2021,e4ace54e-4d6f-452a-9a1b-3a4984a10aea
the year that wasn’t – the diary of a 14-year-old,brisha jain,2021,a6453dcf-408b-4363-869f-c5fad69a496c
the earthspinner,anuradha roy,2021,8e123d8d-08f4-419a-ab04-4a3c0c9de7e6
how the earth got its beauty,sudha murty,2021,335ae70f-06cf-43ba-bea5-b8e65706a3b4
operation khukri,rajpal punia & ms damini punia,2021,90849a99-c8cd-4c9b-a23f-54894541604c
accelerating india: 7 years of modi government,k j alphons,2021,b53517c2-9090-4086-8919-c92d4e0a6ba9
back to the roots,tamannaah bhatia,2021,0bf2e336-fa06-44c7-96ac-4fadc67bb80d
gita govinda: jaydeva’s divine odyssey,dr. utpal k. banerjee,2021,ad8ecb06-eeb4-423d-afdb-c28181a6d863
human rights and terrorism in india,subramanian swamy,2021,ffd16970-93ca-4776-b1d2-1a5dd92eebd8
translating myself and others,jhumpa lahiri,2021,e69287f2-ef41-4d06-938e-05a66447fc44
shining sikh youth of india,dr. prabhleen singh,2021,054159cd-dee9-4af6-923b-4386588df5cd
400 days,chetan bhagat,2021,39f7a033-4c2f-4aa0-8cdf-72dc929022ed
jungle nama,amitav ghosh,2021,8c3dd247-3306-4a82-8fdc-6bda7eccd45d
the fractured himalaya: how the past shadows the present in india-china relations,nirupama rao,2021,89c12837-e974-4cd8-b241-de274500063e
the battle of rezang la,kulpreet yadav,2021,e55811e2-95f3-4e50-bb0c-60c8570e64cb
politics of opportunism,r p n singh,2019,4aa65d5f-9a8e-4170-b814-1805b9b8422c
malayalam poetry,akkitham achuthan namboodri,2019,ac4b0310-c152-40f9-8377-e997a02c2e8b
the testaments,margaret atwood,2019,b965902f-d858-4561-a3ae-95940c0b4c49
celestial bodies,jokha alharthi,2019,b1df183c-ea32-42ca-a24c-93722fe84a6e
cheque book,vasdev mohi,2019,f15784aa-a8d3-426b-91f2-f72cfd1f6358
the overstory,richard powers,2019,83e96147-5325-4bad-bbdc-5b80b2ae69a1
the braille edition of the book exam warriors,pm narendra modi,2019,ccb12151-e5d9-49c4-98e9-d8905dbf73a2
mind-master,viswanathan anand and susan ninan,2019,59c1ef10-48cb-49be-bb3e-f687fbbbd446
hemant karkare: a daughter’s memoir,hemant karkare's daughter jui karkare,2019,91574ffc-7229-4fc9-83e3-59c1a0af427e
"""courts of india""",chief justice of india (cji) ranjan gogoi,2019,b2dc0adc-13eb-44f9-b2b8-7a44f0af9b48
hemant karkare: a daughter’s memoir,karkare's daughter jui karkare,2019,b9076a12-030b-457d-adec-304063606cb9
braille edition of ‘exam warriors’,prime minister narendra modi,2019,48b7d448-6f1b-4209-909e-1f754f1243be
bridgital nation,shri n chandrasekaran,2019,b6e10536-b560-41fa-b76c-459c1a9786f3
girl power: indian women who broke the rules,neha j hiranandani,2019,48b73a23-43a7-44fd-a2ec-3994c8b13944
from leeches to slug glue: 25 explosive ideas that made (and are making) modern medicine,roopa pai,2019,e1233f38-8b60-4dee-81ac-069fb60c47ba
fakir hassen,‘150 years of celebrating the mahatma–the south african legacy’,2019,f4ae1924-3ec9-495e-b9c6-ebcc71b04a3c
turbulence and triumph: the modi years,rahul agarwal and bharathi s pradhan,2019,2efafbab-68af-493e-8bd8-039fe5fceb03
